,mcg,gvh,lip,chg,aac,alm1,alm2,class
49,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
50,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
51,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
52,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
53,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
54,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
55,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
56,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
57,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
58,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
59,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
60,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
61,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
62,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
63,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
64,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
65,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
66,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
67,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
68,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
69,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
70,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
71,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
72,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
73,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
74,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
75,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
76,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
77,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
78,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
79,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
80,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
81,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
82,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
83,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
84,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
85,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
86,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
87,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
88,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
89,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
90,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
91,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
92,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
93,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
94,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
95,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
96,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
97,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
98,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
99,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
100,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
101,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
102,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
103,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
104,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
105,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
106,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
107,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
108,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
109,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
110,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
111,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
112,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
113,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
114,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
115,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
116,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
117,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
118,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
119,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
120,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
121,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
122,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
123,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
124,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
125,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
126,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
127,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
128,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
129,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
130,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
131,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
132,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
133,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
134,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
135,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
136,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
137,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
138,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
139,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
140,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
141,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
142,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
143,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
144,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
145,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
146,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
147,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
148,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
149,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
150,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
151,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
152,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
153,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
154,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
155,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
156,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
157,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
158,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
159,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
160,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
161,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
162,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
163,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
164,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
165,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
166,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
167,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
168,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
169,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
170,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
171,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
172,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
173,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
174,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
175,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
176,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
177,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
178,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
179,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
180,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
181,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
182,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
183,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
184,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
185,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
186,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
187,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
188,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
189,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
190,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
191,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
192,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
193,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
194,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
195,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
196,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
197,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
198,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
199,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
200,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
201,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
202,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
203,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
204,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
205,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
206,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
207,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
208,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
209,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
210,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
211,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
212,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
213,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
214,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
215,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
216,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
217,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
218,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
219,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
220,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
221,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
222,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
223,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
224,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
225,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
226,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
227,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
228,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
229,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
230,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
231,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
232,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
233,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
234,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
235,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
236,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
237,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
238,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
239,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
240,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
241,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
242,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
243,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
244,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
245,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
246,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
247,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
248,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
249,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
250,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
251,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
252,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
253,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
254,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
255,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
256,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
257,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
258,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
259,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
260,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
261,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
262,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
263,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
264,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
265,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
266,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
267,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
268,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
269,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
270,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
271,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
272,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
273,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
274,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
275,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
276,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
277,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
278,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
279,0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
280,0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
281,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
282,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
283,0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
284,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
285,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
286,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
287,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
288,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
289,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
290,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
291,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
292,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
293,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
294,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
295,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
296,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
297,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
298,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
299,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
300,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
301,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
302,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
303,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
304,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
305,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
306,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
307,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
308,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
309,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
310,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
311,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
312,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
313,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
314,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
315,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
316,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
317,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
318,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
319,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
320,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
321,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
322,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
323,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
324,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
325,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
326,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
327,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
328,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
329,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
330,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
331,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
332,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
333,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
334,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
335,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
336,0.72775262680805,0.47880840578576,1.0,0.7775262680805,0.44894422102229004,0.62573161234365,0.5402716304730601,imL
337,0.7040889260832569,0.4030845634664222,1.0,0.5408892608325694,0.5010043626168348,0.7913775174172013,0.7958395983008251,imL
338,0.7046638610021398,0.40492435520684766,1.0,0.5466386100213989,0.49973950579529225,0.7873529729850206,0.7896303011768891,imL
339,0.7214300290458056,0.4585760929465778,1.0,0.7143002904580555,0.46285393609922776,0.6699897966793611,0.6085556863052999,imL
340,0.7272264761706955,0.4771247237462256,1.0,0.7722647617069549,0.4501017524244699,0.6294146668051315,0.5459540573564887,imL
341,0.7137868464679457,0.43411790869742617,1.0,0.6378684646794567,0.47966893777051955,0.7234920747243803,0.6911020581461869,imL
342,0.70207246644032,0.39663189260902393,1.0,0.5207246644031998,0.505440573831296,0.8054927349177602,0.8176173624445444,imL
343,0.7360470802977103,0.5053506569526731,1.0,0.8604708029771033,0.4306964233450373,0.5676704379160277,0.4506915327847285,imL
344,0.7283691087176412,0.4807811478964517,1.0,0.7836910871764116,0.44758796082118946,0.6214162389765119,0.5336136258494756,imL
345,0.7466201877784119,0.5391846008909182,1.0,0.9662018777841193,0.40743558688749376,0.49365868555111647,0.3365019719931512,imL
346,0.7191240257733816,0.45119688247482137,1.0,0.6912402577338168,0.46792714329856033,0.6861318195863282,0.6334605216474778,imL
347,0.723948819137632,0.46663622124042253,1.0,0.7394881913763203,0.45731259789720957,0.6523582660365758,0.581352753313574,imL
348,0.7255802010145743,0.4718566432466378,1.0,0.755802010145743,0.45372355776793655,0.6409385928979799,0.5637338290425976,imL
349,0.7358390098736919,0.5046848315958141,1.0,0.858390098736919,0.43115417827787783,0.5691269308841567,0.4529386933641275,imL
350,0.7082930189068205,0.41653766050182595,1.0,0.5829301890682059,0.49175535840499474,0.7619488676522558,0.7504353958063377,imL
351,0.717290520888454,0.4453296668430528,1.0,0.67290520888454,0.4719608540454012,0.698966353780822,0.6532623744046968,imL
352,0.714830023410731,0.4374560749143393,1.0,0.6483002341073102,0.47737394849639175,0.7161898361248829,0.679835747164105,imL
353,0.7335621922540958,0.4973990152131066,1.0,0.835621922540958,0.4361631770409893,0.5850646542213294,0.47752832365576536,imL
354,0.7442615422934159,0.5316369353389309,1.0,0.9426154229341588,0.41262460695448505,0.5101692039460888,0.36197534323110847,imL
355,0.7340912358527582,0.499091954728826,1.0,0.8409123585275811,0.43499928112393216,0.5813613490306931,0.4718146527902124,imL
356,0.72565814284671,0.47210605710947223,1.0,0.7565814284671006,0.4535520857372379,0.6403930000730295,0.5628920572555313,imL
357,0.70755452680418,0.41417448577337607,1.0,0.5755452680418002,0.49338004103080396,0.7671183123707399,0.7584111105148559,imL
358,0.728954792987881,0.4826553375612192,1.0,0.78954792987881,0.44629945542666183,0.6173164490848331,0.5272882357308853,imL
359,0.7491869301568647,0.5473981765019669,1.0,0.9918693015686464,0.4017887536548978,0.47569148890194746,0.30878115430586184,imL
360,0.7231644319633196,0.46412618228262276,1.0,0.7316443196331961,0.4590382496806969,0.6578489762567628,0.5898241347961484,imL
361,0.7099818915845472,0.4219420530705509,1.0,0.5998189158454715,0.4880398385139963,0.7501267589081699,0.7321955708868908,imL
362,0.7214142440592612,0.4585255809896359,1.0,0.7141424405926122,0.46288866306962534,0.6701002915851715,0.6087261641599788,imL
363,0.7291190109851239,0.4831808351523965,1.0,0.791190109851239,0.44593817583272743,0.6161669231041327,0.5255146813606619,imL
364,0.726897837202537,0.47607307904811835,1.0,0.7689783720253697,0.4508247581544187,0.6317151395822411,0.5495033582126008,imL
365,0.7420569794907905,0.5245823343705298,1.0,0.9205697949079056,0.4174746451202608,0.5256011435644661,0.38578462149946197,imL
366,0.7167544930959066,0.44361437790690117,1.0,0.6675449309590661,0.47314011518900545,0.7027185483286537,0.6590514745642087,imL
367,0.7447159258237128,0.533090962635881,1.0,0.9471592582371278,0.4116249631878319,0.5069885192340106,0.3570680011039021,imL
368,0.7037601414661672,0.40203245269173526,1.0,0.5376014146616725,0.5017276887744321,0.7936790097368291,0.7993904721653937,imL
369,0.7257825393576549,0.4725041259444957,1.0,0.757825393576549,0.4532784134131592,0.6395222244964156,0.561548574937327,imL
370,0.7236741842359956,0.46575738955518614,1.0,0.7367418423599565,0.4579167946808096,0.6542807103480304,0.5843188102512469,imL
371,0.7378719503809729,0.5111902412191132,1.0,0.8787195038097286,0.4266817091618597,0.5548963473331899,0.43098293588549313,imL
372,0.731079658182493,0.4894549061839778,1.0,0.8107965818249305,0.4416247519985153,0.6024423927225486,0.5043396916290751,imL
373,0.7040763538962641,0.4030443324680453,1.0,0.5407635389626413,0.5010320214282189,0.791465522726151,0.7959753779203473,imL
374,0.7486859012794488,0.5457948840942363,1.0,0.9868590127944883,0.4028910171852126,0.47919869104385815,0.31419226618195256,imL
375,0.716905752084773,0.44409840667127365,1.0,0.6690575208477301,0.4728073454134994,0.7016597354065889,0.6574178774844515,imL
376,0.7136720506259566,0.43375056200306117,1.0,0.6367205062595662,0.47992148862289546,0.7242956456183036,0.6923418532396686,imL
377,0.732880922860367,0.4952189531531743,1.0,0.8288092286036697,0.4376619697071927,0.5898335399774313,0.4848860331080368,imL
378,0.7173121143232211,0.44539876583430765,1.0,0.6731211432322114,0.47191334848891353,0.698815199737452,0.6530291653092117,imL
379,0.7353751006802283,0.5032003221767304,1.0,0.8537510068022824,0.4321747785034979,0.5723742952384022,0.457948912653535,imL
380,0.7288766275772983,0.4824052082473548,1.0,0.7887662757729836,0.4464714193299436,0.6178636069589114,0.5281324221651776,imL
381,0.7361942207366121,0.5058215063571588,1.0,0.8619422073661214,0.43037271437945335,0.5666404548437151,0.449102416044589,imL
382,0.743726176520873,0.5299237648667938,1.0,0.9372617652087306,0.41380241165407927,0.5139167643538886,0.36775729357457093,imL
