,mcg,gvh,lip,chg,aac,alm1,alm2,class
49,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
50,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
51,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
52,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
53,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
54,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
55,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
56,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
57,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
58,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
59,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
60,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
61,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
62,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
63,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
64,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
65,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
66,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
67,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
68,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
69,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
70,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
71,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
72,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
73,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
74,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
75,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
76,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
77,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
78,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
79,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
80,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
81,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
82,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
83,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
84,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
85,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
86,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
87,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
88,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
89,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
90,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
91,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
92,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
93,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
94,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
95,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
96,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
97,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
98,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
99,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
100,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
101,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
102,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
103,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
104,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
105,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
106,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
107,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
108,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
109,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
110,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
111,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
112,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
113,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
114,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
115,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
116,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
117,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
118,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
119,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
120,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
121,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
122,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
123,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
124,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
125,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
126,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
127,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
128,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
129,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
130,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
131,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
132,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
133,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
134,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
135,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
136,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
137,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
138,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
139,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
140,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
141,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
142,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
143,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
144,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
145,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
146,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
147,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
148,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
149,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
150,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
151,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
152,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
153,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
154,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
155,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
156,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
157,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
158,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
159,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
160,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
161,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
162,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
163,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
164,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
165,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
166,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
167,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
168,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
169,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
170,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
171,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
172,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
173,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
174,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
175,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
176,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
177,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
178,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
179,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
180,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
181,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
182,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
183,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
184,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
185,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
186,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
187,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
188,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
189,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
190,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
191,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
192,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
193,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
194,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
195,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
196,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
197,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
198,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
199,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
200,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
201,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
202,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
203,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
204,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
205,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
206,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
207,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
208,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
209,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
210,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
211,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
212,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
213,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
214,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
215,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
216,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
217,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
218,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
219,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
220,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
221,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
222,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
223,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
224,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
225,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
226,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
227,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
228,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
229,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
230,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
231,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
232,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
233,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
234,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
235,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
236,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
237,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
238,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
239,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
240,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
241,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
242,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
243,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
244,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
245,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
246,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
247,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
248,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
249,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
250,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
251,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
252,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
253,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
254,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
255,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
256,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
257,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
258,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
259,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
260,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
261,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
262,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
263,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
264,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
265,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
266,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
267,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
268,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
269,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
270,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
271,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
272,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
273,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
274,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
275,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
276,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
277,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
278,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
279,0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
280,0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
281,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
282,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
283,0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
284,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
285,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
286,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
287,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
288,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
289,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
290,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
291,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
292,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
293,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
294,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
295,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
296,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
297,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
298,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
299,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
300,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
301,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
302,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
303,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
304,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
305,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
306,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
307,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
308,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
309,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
310,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
311,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
312,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
313,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
314,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
315,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
316,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
317,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
318,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
319,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
320,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
321,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
322,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
323,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
324,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
325,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
326,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
327,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
328,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
329,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
330,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
331,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
332,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
333,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
334,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
335,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
336,0.6873792820513178,0.39368964102565895,0.48,0.5,0.56,0.8610517264957235,0.827896547008553,im
337,0.8698949989405542,0.5057689976692193,0.48,0.5,0.49793699936433256,0.7159789997881109,0.7519579995762217,im
338,0.09218742350231168,0.49156251529953765,0.48,0.5,0.405312454101387,0.67,0.22796892594468313,im
339,0.35088492502051916,0.5064602999179232,0.48,0.5,0.6011507497948081,0.7082301499589616,0.7382301499589616,im
340,0.4797991431209572,0.5480401713758086,0.48,0.5,0.5878393144967657,0.7197991431209573,0.7578393144967658,im
341,0.6032159066634193,0.47542727466926454,0.48,0.5,0.016281824007793703,0.7981909084435785,0.31592954399805157,im
342,0.5612004503855104,0.5090396396915917,0.48,0.5,0.11711891907477516,0.7869867867694694,0.2907202702313062,im
343,0.5594338644844741,0.5661132271031052,0.48,0.5,0.5561132271031052,0.8061132271031052,0.8261132271031051,im
344,0.6218595290467831,0.46728650968226104,0.48,0.5,0.49371905809356625,0.817286509682261,0.837286509682261,im
345,0.3631495003660772,0.48541362417632633,0.48,0.5,0.3797242505491158,0.7634252498169615,0.7917126249084807,im
346,0.5721623336653205,0.5635675332669359,0.48,0.5,0.553567533266936,0.803567533266936,0.8235675332669359,im
347,0.45966541567811664,0.48628785883751435,0.48,0.5,0.46933083135623327,0.512140176453107,0.5765214862593595,im
348,0.31914607833683506,0.4445730391684175,0.48,0.5,0.47713480415791243,0.8311573525157576,0.8520112741789225,im
349,0.6370462112487382,0.5357722732507572,0.48,0.5,0.6584554534984858,0.7843630310010096,0.8057722732507572,im
350,0.4961537886527828,0.4237363623095153,0.48,0.5,0.5423075773055656,0.5903295471131059,0.6442856074980252,im
351,0.474781454942416,0.4914910128735954,0.48,0.5,0.5207455064367977,0.7685089871264046,0.715218545057584,im
352,0.3603933919019845,0.469213216196031,0.48,0.5,0.5101311306339948,0.6903933919019845,0.7203933919019845,im
353,0.5086122384648328,0.5422775523070335,0.48,0.5,0.6108897907718663,0.7486122384648328,0.7808897907718664,im
354,0.5039743136306835,0.37397431363068345,0.48,0.5,0.6580128431846584,0.6539100977073921,0.6979486272613669,im
355,0.63,0.7494477882876398,0.48,0.5,0.640110442342472,0.7296686729725839,0.6602761058561801,im
356,0.5963092285690966,0.59892768570729,0.48,0.5,0.545536157146355,0.675536157146355,0.715536157146355,im
357,0.3582742937539047,0.49638283905371444,0.48,0.5,0.37241144063085707,0.7658628531230477,0.7929314265615238,im
358,0.7101907884845086,0.6864503584020494,0.48,0.5,0.66,0.6554198566391802,0.6954198566391802,im
359,0.3831381104005784,0.42372377919884324,0.48,0.5,0.5177127034668595,0.7131381104005783,0.7431381104005783,im
360,0.7318550883092501,0.6962977674132954,0.48,0.5,0.66,0.6514808930346818,0.6914808930346817,im
361,0.3792460281436718,0.43150794371265633,0.48,0.5,0.5164153427145572,0.7092460281436718,0.7392460281436718,im
362,0.8457934529762564,0.45274559654776425,0.48,0.5,0.48347607178575386,0.7111586905952513,0.7423173811905026,im
363,0.2754758629649763,0.36232069167119657,0.48,0.5,0.5086310342587559,0.7727379314824881,0.7941068972237322,im
364,0.2850680749268977,0.38390316858551976,0.48,0.5,0.5062329812682755,0.7775340374634488,0.8013010561951732,im
365,0.6265449012426325,0.5233089802485266,0.48,0.5,0.5565449012426325,0.6666910197514735,0.5663257234793709,im
366,0.30745766598855906,0.4342797484742579,0.48,0.5,0.5006355835028602,0.7887288329942795,0.8180932494914193,im
367,0.3804277018230361,0.645121414262747,0.48,0.5,0.52,0.76,0.79,im
368,0.5422738318634771,0.5960146657621397,0.48,0.5,0.6937408338986626,0.6295109993216048,0.6762591661013374,im
369,0.4289275675163355,0.5045921235667613,0.48,0.5,0.5272960617833806,0.7554078764332387,0.7610724324836645,im
370,0.6108732758593436,0.46362442528644787,0.48,0.5,0.47174655171868723,0.8136244252864478,0.8336244252864479,im
371,0.4553376565349224,0.5990229805938938,0.48,0.5,0.52,0.76,0.79,im
372,0.4647221492516195,0.600555701496761,0.48,0.5,0.498888597006478,0.8127785074838051,0.832222805987044,im
373,0.47597971229691505,0.548804057540617,0.48,0.5,0.584783769837532,0.715979712296915,0.754783769837532,im
374,0.242648957444599,0.5042648957444599,0.48,0.5,0.4171324478722299,0.6272053127666203,0.30272182233898937,im
375,0.7304314019446759,0.4304314019446759,0.48,0.5,0.5523921495138311,0.8752157009723379,0.8756471029170139,im
376,0.48561277197569497,0.41561277197569496,0.48,0.5,0.52122554395139,0.8382595082673554,0.8407105961701353,im
377,0.2916773743963649,0.49541934359909123,0.48,0.5,0.5745806564009087,0.8491613128018175,0.8591613128018175,im
378,0.37518613210906826,0.4396277357818634,0.48,0.5,0.5150620440363561,0.7051861321090682,0.7351861321090682,im
379,0.73522732829382,0.40181862635055954,0.48,0.5,0.5404546565876399,0.8943180151185401,0.9043180151185402,im
380,0.511449179632829,0.38144917963282904,0.48,0.5,0.6542754101835855,0.6800721287149015,0.712898359265658,im
381,0.5887290436627952,0.560254191267441,0.48,0.5,0.550254191267441,0.800254191267441,0.8202541912674409,im
382,0.4475523998895313,0.5070530287608035,0.48,0.5,0.4451047997790626,0.48618371404899563,0.5540258855091296,im
383,0.389057124429398,0.411885751141204,0.48,0.5,0.5196857081431326,0.719057124429398,0.749057124429398,im
384,0.423641041126378,0.5390974575769293,0.48,0.5,0.3672717917747244,0.7709076876620866,0.20818462467582682,im
385,0.8742822009461837,0.5154208420816041,0.48,0.5,0.5005693205677102,0.7168564401892367,0.7537128803784735,im
386,0.29034282764658814,0.39577136220482323,0.48,0.5,0.504914293088353,0.7801714138232941,0.805257120734941,im
387,0.6553783236963047,0.5290756647392609,0.48,0.5,0.5853783236963046,0.6609243352607391,0.647059306349653,im
388,0.5950141554170225,0.5950424662510675,0.48,0.5,0.5474787668744663,0.6774787668744663,0.7174787668744662,im
